"","Card.Number","Date","flow","day"
"5080","3397010005",2017-09-20,"Yummex-Gulf Host",4
"5081","3397010019",2017-09-20,"Yummex",4
"5082","3397010020",2017-09-19,"Gulf Host",3
"5083","3397010024",2017-09-19,"Gulf Host",3
"5084","3397010033",2017-09-19,"Gulf Host",3
"5085","3397010033",2017-09-20,"Gulf Host",4
"5086","3397010036",2017-09-19,"Crossover into Hotel / Leisure",3
"5087","3397010036",2017-09-20,"Yummex",4
"5088","3397010040",2017-09-19,"Yummex",3
"5089","3397010042",2017-09-18,"Yummex",2
"5090","3397010044",2017-09-18,"Yummex",2
"5091","3397010055",2017-09-20,"Yummex",4
"5092","3397010057",2017-09-19,"Gulf Host",3
"5093","3397010057",2017-09-20,"Gulf Host",4
"5094","3397010059",2017-09-20,"Gulf Host",4
"5095","3397010071",2017-09-20,"Yummex",4
"5096","3397010080",2017-09-18,"Yummex-Gulf Host",2
"5097","3397010084",2017-09-19,"Crossover into Hotel / Leisure",3
"5098","3397010086",2017-09-19,"Gulf Host",3
"5099","3397010104",2017-09-18,"Gulf Host-Yummex",2
"5100","3397010104",2017-09-19,"Gulf Host",3
"5101","3397010106",2017-09-18,"Gulf Host-Yummex",2
"5102","3397010106",2017-09-19,"Gulf Host",3
"5103","3397010112",2017-09-18,"Yummex",2
"5104","3397010125",2017-09-19,"Yummex",3
"5105","3397010128",2017-09-19,"Gulf Host",3
"5106","3397010133",2017-09-19,"Crossover into Hotel / Leisure",3
"5107","3397010138",2017-09-20,"Yummex-Gulf Host",4
"5108","3397010139",2017-09-19,"Gulf Host-Yummex-Gulf Host-Crossover into Hotel / Leisure-Seafex",3
"5109","3397010139",2017-09-20,"Gulf Host-Yummex",4
"5110","3397010144",2017-09-19,"The Specialty Food Festival",3
"5111","3397010148",2017-09-18,"Yummex",2
"5112","3397010148",2017-09-20,"Yummex",4
"5113","3397010149",2017-09-18,"Yummex",2
"5114","3397010153",2017-09-20,"Yummex",4
"5115","3397010157",2017-09-19,"Yummex-Crossover into Hotel / Leisure",3
"5116","3397010157",2017-09-20,"Yummex",4
"5117","3397010163",2017-09-19,"Crossover into Hotel / Leisure-Gulf Host",3
"5118","3397010165",2017-09-18,"Yummex",2
"5119","3397010165",2017-09-19,"Crossover into Hotel / Leisure",3
"5120","3397010172",2017-09-19,"Crossover into Hotel / Leisure-The Specialty Food Festival-Yummex",3
